Date,Open,High,Low,Close,Volume
10/28/2024,"143.00","143.14","140.05","140.52","173,586,703"
10/25/2024,"140.93","144.13","140.80","141.54","205,122,094"
10/24/2024,"140.82","141.35","138.46","140.41","172,354,891"
10/23/2024,"142.03","142.43","137.46","139.56","285,929,969"
10/22/2024,"142.91","144.42","141.78","143.59","226,311,594"
10/21/2024,"138.13","143.71","138.00","143.71","264,554,500"
10/18/2024,"138.67","138.90","137.28","138.00","176,090,203"
10/17/2024,"139.34","140.89","136.87","136.93","306,435,906"
10/16/2024,"133.98","136.62","131.58","135.72","264,879,688"
10/15/2024,"137.87","138.57","128.74","131.60","377,831,000"
10/14/2024,"136.47","139.60","136.30","138.07","232,347,703"
10/11/2024,"134.01","135.78","133.66","134.80","170,209,500"
10/10/2024,"131.91","135.00","131.00","134.81","242,311,297"
10/09/2024,"134.11","134.52","131.38","132.65","246,191,594"
10/08/2024,"130.26","133.48","129.42","132.89","285,722,500"
10/07/2024,"124.99","130.64","124.95","127.72","346,250,219"
10/04/2024,"124.94","125.04","121.83","124.92","244,465,594"
10/03/2024,"120.92","124.36","120.34","122.85","277,118,031"
10/02/2024,"116.44","119.38","115.14","118.85","221,845,906"
10/01/2024,"121.77","122.44","115.79","117.00","302,094,500"
09/30/2024,"118.31","121.50","118.15","121.44","227,053,703"
